[INFO] [1765241820.115586853] [robot_state_publisher]: Robot initialized
[WARN] [1765241847.055850396] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.057685471] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.059692762] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.069505873] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.070451995] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.078739502] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.082214728] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.082962842] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.090466608] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.093239555] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.098789742] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.099450310] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.115940154] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.120739309] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.121692182] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.166049169] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.268303741] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.397373789] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.475228235] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.527963108] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.531823099] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.622927672] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.662963982] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.663760098] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.664303579] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.674804177] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.823623743] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.855554096] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.856820814] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.857514343] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.865582299] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.866154864] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.866828100] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.868605173] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.131817062] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.135213450] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.136967979] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.140321031] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.141901595] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.145348068] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.149923836] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.154017252] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.217118636] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.219574652] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.232569761] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.234402418] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.235849310] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.241753382] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.550663704] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.840244620] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.355329228] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[INFO] [1765245093.343673929] [rclcpp]: signal_handler(signum=2)
