[INFO] [1765241845.185963025] [robot_state_publisher]: Robot initialized
[WARN] [1765241846.345046266] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.411054351] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.415281110] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.417427033] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.421649959] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.424667168] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.425938971] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.427070518] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.428690461] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.444087519] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.448383948] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.451051142] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.476814633] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.532089478] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.535264360] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.539198566] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.540101562] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.563876594] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.568157314] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.590448118] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.602443535] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.623046560] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.878274405] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.259490004] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.268707133] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.293374604] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.320373337] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.420606826] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.475159315] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.491590948] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.527722473] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.528011360] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.531876393] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.578289007] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.587186788] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.596280328] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.647054621] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.748989722] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.769302889] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.791997029] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.832107383] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.867272202] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.240178568] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.455060672] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.499466426] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.550663662] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.597273588] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.680150564] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.840101572] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.844695466] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.879437579] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.886618328] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241848.985984012] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.010885929] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.029495378] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.114863486] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.202846822] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.325870971] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.400017340] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.472050709] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.500214289] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.603964337] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241849.632074456] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[INFO] [1765241849.678171666] [rclcpp]: signal_handler(signum=2)
