timestamp,relative_time,x,y,z,yaw,linear_x,linear_y,angular_z
1765241859.9531405,1.0728836059570312e-05,9.600781259646608e-09,-2.2140374444777823e-21,0.0,-4.560690043213368e-13,1.584272747694753e-13,0.0,-2.0970992668583759e-13
1765241859.9951296,0.04199981689453125,9.600784428816906e-09,-2.2140388964856076e-21,0.0,-4.602641023209119e-13,1.5846713544514138e-13,0.0,-2.0976652238334847e-13
1765241860.0258768,0.07274699211120605,9.600787598461204e-09,-2.2140403620086267e-21,0.0,-4.644598610516808e-13,1.5848543127408401e-13,0.0,-2.097920626187368e-13
1765241860.1460738,0.19294404983520508,9.600790768150086e-09,-2.214041840851634e-21,0.0,-4.686556932981266e-13,1.5848226441310885e-13,0.0,-2.0978803735108097e-13
1765241860.1462724,0.19314265251159668,9.600793937448882e-09,-2.2140433328095917e-21,0.0,-4.728509613453561e-13,1.584573981231246e-13,0.0,-2.0975331747884482e-13
1765241860.163458,0.2103283405303955,9.600797105927185e-09,-2.214044837672102e-21,0.0,-4.770450703264318e-13,1.5841100429226251e-13,0.0,-2.0968732397559958e-13
1765241860.2495272,0.29639744758605957,9.600800273150738e-09,-2.2140463552195546e-21,0.0,-4.812374104541459e-13,1.58342807965687e-13,0.0,-2.0959103498241957e-13
1765241860.2498944,0.296764612197876,9.600800777442661e-09,-2.2140465979406153e-21,0.0,-4.824946753543897e-13,-3.1387479764553146e-14,0.0,7.237830359838992e-21
1765241860.250028,0.29689812660217285,9.600800149718953e-09,-2.2140462950672683e-21,0.0,-4.824946753647295e-13,-3.138622335992074e-14,0.0,-4.135903062765138e-21
1765241860.2550073,0.301877498626709,9.600775839504547e-09,-2.214034959252702e-21,0.0,-4.488895609910035e-13,-2.399633736356751e-12,0.0,3.360511449780304e-12
1765241860.2842777,0.3311479091644287,9.600779006837134e-09,-2.2140363876747113e-21,0.0,-4.5308205417815016e-13,1.5838435526262208e-13,0.0,-2.0964985579577822e-13
1765241860.3088863,0.3557565212249756,9.60078217537562e-09,-2.214037829927358e-21,0.0,-4.572762514607562e-13,1.5843927054271855e-13,0.0,-2.0972716719775472e-13
1765241860.333759,0.380629301071167,9.600785344685796e-09,-2.2140392858257138e-21,0.0,-4.614715479526591e-13,1.5847247076009235e-13,0.0,-2.0977492860632354e-13
1765241860.3586783,0.4055485725402832,9.600788514335867e-09,-2.2140407551785838e-21,0.0,-4.656673082550711e-13,1.5848406377909534e-13,0.0,-2.097899140170957e-13
1765241860.3795512,0.4264214038848877,9.600791683895185e-09,-2.214042237787924e-21,0.0,-4.698629585321219e-13,1.5847410460723826e-13,0.0,-2.0977691797569673e-13
1765241860.4016821,0.44855237007141113,9.60079485292969e-09,-2.214043733446749e-21,0.0,-4.740578481235417e-13,1.5844249489274629e-13,0.0,-2.0973139202273334e-13
1765241860.4232533,0.4701235294342041,9.60079802100876e-09,-2.2140452419422683e-21,0.0,-4.782514011978867e-13,1.5838932355753525e-13,0.0,-2.0965747309524407e-13
1765241860.461322,0.5081923007965088,9.600800612705313e-09,-2.2140464858635834e-21,0.0,-4.818144006227588e-13,1.0081509661101555e-13,0.0,-1.466926203185329e-13
1765241860.543778,0.5906481742858887,9.600799984961066e-09,-2.2140461834073653e-21,0.0,-4.818144004676625e-13,-3.1386524205509525e-14,0.0,1.7577588016751838e-20
1765241860.5439541,0.5908243656158447,9.600799357215254e-09,-2.214045880950391e-21,0.0,-4.818144004469829e-13,-3.138801710107906e-14,0.0,7.237830359838992e-21
1765241860.544072,0.5909421443939209,9.600778140193126e-09,-2.2140359654804122e-21,0.0,-4.519258126289825e-13,1.583641530305217e-13,0.0,-2.0962035233127999e-13
1765241860.6110754,0.6579456329345703,7.800960058102822e-05,-2.209815803395523e-17,0.0,-1.9249560531280752e-13,0.007499999983468196,0.0,2.178915944437096e-11
1765241860.6112711,0.6581413745880127,0.0005280096002503931,3.819823304707015e-18,0.0,2.432881923795425e-13,0.02749999998346826,0.0,2.1789211060441183e-11
1765241860.758231,0.8051011562347412,0.0013780095999197583,4.1031159348152486e-16,0.0,6.790697030829349e-13,0.04749999998346828,0.0,2.1789143297805402e-11
1765241860.7607229,0.8075931072235107,0.002628009599589124,1.5460037459580812e-15,0.0,1.1148552795444742e-12,0.06749999998346828,0.0,2.1789211060441183e-11
1765241860.7612822,0.808152437210083,0.004278009599258489,3.759526356687216e-15,0.0,1.5506367902478666e-12,0.08749999998346825,0.0,2.178866895935494e-11
1765241860.7619498,0.8088200092315674,0.0063280095989588295,7.394640890471873e-15,0.0,1.942846926144498e-12,0.1074999999865657,0.0,1.7431260428135698e-11
1765241860.7620807,0.8089509010314941,0.008778009598938204,1.2154613954000504e-14,0.0,1.942846926144498e-12,0.12749999999896888,0.0,0.0
1765241860.7621968,0.8090670108795166,0.01162800959891758,1.7691721546045938e-14,0.0,1.942846926144498e-12,0.14749999999896876,0.0,0.0
1765241860.7934759,0.840346097946167,0.014878009597709003,2.8242380086578714e-14,0.0,3.60951503175439e-12,0.16749999998346826,0.0,2.1789211060441183e-11
1765241860.8229456,0.8698158264160156,0.018528009597378377,4.2226882447669924e-14,0.0,4.045288410941489e-12,0.18749999998346806,0.0,2.1790295262613668e-11
1765241860.8661346,0.9130048751831055,0.02250000959724801,5.88488446133618e-14,0.0,4.217459715932187e-12,0.20000000000015702,0.0,-2.0816681711721685e-13
1765241860.8772388,0.9241089820861816,0.02650000959725117,7.571045655101896e-14,0.0,4.213339747676742e-12,0.20000000000015686,0.0,-2.0599841277224584e-13
